"Wells","values","conc","rep_tec","experiment","PositionScore"
"D05",69.3820224719101,"3.9",4,"EXP_3","1"
"D06",79.2134831460674,"7.8",4,"EXP_3","1"
"D07",62.0786516853933,"15.6",4,"EXP_3","1"
"D08",51.685393258427,"31.25",4,"EXP_3","1"
"D09",42.4157303370787,"62.5",4,"EXP_3","1"
"D10",28.6516853932584,"125",4,"EXP_3","2"
"D11",18.2584269662921,"250",4,"EXP_3","3"
"D12",10.6741573033708,"500",4,"EXP_3","4"
"E01",79.7752808988764,"0",5,"EXP_3","4"
"E02",75,"0.485",5,"EXP_3","3"
"E03",68.2584269662921,"0.97",5,"EXP_3","2"
"E04",80.0561797752809,"1.95",5,"EXP_3","1"
"E05",64.3258426966292,"3.9",5,"EXP_3","1"
"E06",68.8202247191011,"7.8",5,"EXP_3","1"
"E07",60.6741573033708,"15.6",5,"EXP_3","1"
"E08",50.8426966292135,"31.25",5,"EXP_3","1"
"E09",23.0337078651685,"62.5",5,"EXP_3","1"
"E10",19.6629213483146,"125",5,"EXP_3","2"
"E11",10.9550561797753,"250",5,"EXP_3","3"
"E12",7.02247191011236,"500",5,"EXP_3","4"
"F01",85.9550561797753,"0",6,"EXP_3","4"
"F02",87.0786516853933,"0.485",6,"EXP_3","3"
"F03",80.6179775280899,"0.97",6,"EXP_3","2"
"F04",73.5955056179775,"1.95",6,"EXP_3","2"
"F05",64.0449438202247,"3.9",6,"EXP_3","2"
"F06",57.8651685393258,"7.8",6,"EXP_3","2"
"F07",73.0337078651685,"15.6",6,"EXP_3","2"
"F08",47.4719101123595,"31.25",6,"EXP_3","2"
"F09",46.6292134831461,"62.5",6,"EXP_3","2"
"F10",23.314606741573,"125",6,"EXP_3","2"
"F11",10.9550561797753,"250",6,"EXP_3","3"
"F12",7.30337078651685,"500",6,"EXP_3","4"
"G01",81.4606741573034,"0",7,"EXP_3","4"
"G02",72.752808988764,"0.485",7,"EXP_3","3"
"G03",63.2022471910112,"0.97",7,"EXP_3","3"
"G04",78.3707865168539,"1.95",7,"EXP_3","3"
"G05",63.7640449438202,"3.9",7,"EXP_3","3"
"G06",44.9438202247191,"7.8",7,"EXP_3","3"
"G07",35.9550561797753,"15.6",7,"EXP_3","3"
"G09",26.123595505618,"62.5",7,"EXP_3","3"
"G10",12.6404494382022,"125",7,"EXP_3","3"
"G11",20.2247191011236,"250",7,"EXP_3","3"
"G12",8.98876404494382,"500",7,"EXP_3","4"
"H01",83.9887640449438,"0",8,"EXP_3","4"
"H02",78.6516853932584,"0.485",8,"EXP_3","4"
"H03",83.4269662921348,"0.97",8,"EXP_3","4"
"H04",74.7191011235955,"1.95",8,"EXP_3","4"
"H05",65.7303370786517,"3.9",8,"EXP_3","4"
"H06",63.2022471910112,"7.8",8,"EXP_3","4"
"H07",57.8651685393258,"15.6",8,"EXP_3","4"
"H08",49.7191011235955,"31.25",8,"EXP_3","4"
"H09",51.123595505618,"62.5",8,"EXP_3","4"
"H10",18.8202247191011,"125",8,"EXP_3","4"
"H11",16.8539325842697,"250",8,"EXP_3","4"
"H12",14.8876404494382,"500",8,"EXP_3","4"
